# compute-mfcc-feats --write-utt2dur=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/wav_spkrs.1.scp ark:- | copy-feats --write-num-frames=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2num_frames.1 --compress=true ark:- ark,scp:/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.ark,/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.scp 
# Started at Tue Feb 11 11:48:23 UTC 2020
#
copy-feats --write-num-frames=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2num_frames.1 --compress=true ark:- ark,scp:/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.ark,/SpeakerDiarization/diarization_online/mfcc/raw_mfcc_spkrs.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:/SpeakerDiarization/diarization_online/preprocess_log/make_mfcc/wav_spkrs.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_18_14_35_42_1
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_18_14_35_42_2
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_18_14_35_42_3
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_18_14_35_42_4
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_18_14_36_28
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_15_53
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_16_14
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_16_28
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_17_13
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 10 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_17_48
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_18_52
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_16_21_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_34_31
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_36_43
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_39_30
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_45_28
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_46_37
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_47_35
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_48_22
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 20 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_49_39
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_50_13
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_50_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_51_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_52_47
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_53_25
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_54_07
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_54_57
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_55_54
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_57_31
LOG (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:181) Processed 30 utterances
VLOG[2] (compute-mfcc-feats[5.5.637~1-134b1]:main():compute-mfcc-feats.cc:182) Processed features for key 0002-2019_10_22_18_58_40
