# nnet/wrap/extract_wrapper.sh --gpuid -1 --env tf_cpu --min-chunk-size 25 --chunk-size 10000 --normalize false --node output /SpeakerDiarization/diarization_online/basemodel/xvector_nnet_pretrain "ark:apply-cmvn-sliding --norm-vars=false --center=true --cmn-window=300 scp:/SpeakerDiarization/diarization_online/data/spkrs/split1/1/feats.scp ark:- | select-voiced-frames ark:- scp,s,cs:/SpeakerDiarization/diarization_online/data/spkrs/split1/1/vad.scp ark:- |" "ark:| copy-vector ark:- ark,scp:/SpeakerDiarization/diarization_online/basemodel/xvector_nnet_pretrain/xvectors/xvector.1.ark,/SpeakerDiarization/diarization_online/basemodel/xvector_nnet_pretrain/xvectors/xvector.1.scp" 
# Started at Tue Feb 11 11:48:27 UTC 2020
#
INFO:tensorflow:Extract embedding from output
2020-02-11 11:48:27.758275: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
INFO:tensorflow:Extract embedding from node output
WARNING:tensorflow:From /SpeakerDiarization/extractor/model/pooling.py:23: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
copy-vector ark:- ark,scp:/SpeakerDiarization/diarization_online/basemodel/xvector_nnet_pretrain/xvectors/xvector.1.ark,/SpeakerDiarization/diarization_online/basemodel/xvector_nnet_pretrain/xvectors/xvector.1.scp 
select-voiced-frames ark:- scp,s,cs:/SpeakerDiarization/diarization_online/data/spkrs/split1/1/vad.scp ark:- 
apply-cmvn-sliding --norm-vars=false --center=true --cmn-window=300 scp:/SpeakerDiarization/diarization_online/data/spkrs/split1/1/feats.scp ark:- 
INFO:tensorflow:[INFO] Key 0002-2019_10_18_14_35_42_1 length 207.
INFO:tensorflow:Reading checkpoints...
INFO:tensorflow:Restoring parameters from /SpeakerDiarization/diarization_online/basemodel/xvector_nnet_pretrain/nnet/model-2610000
INFO:tensorflow:Succeed to load checkpoint model-2610000
INFO:tensorflow:[INFO] Key 0002-2019_10_18_14_35_42_2 length 199.
INFO:tensorflow:[INFO] Key 0002-2019_10_18_14_35_42_3 length 208.
INFO:tensorflow:[INFO] Key 0002-2019_10_18_14_35_42_4 length 183.
INFO:tensorflow:[INFO] Key 0002-2019_10_18_14_36_28 length 219.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_15_53 length 219.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_16_14 length 234.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_16_28 length 350.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_17_13 length 324.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_17_48 length 195.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_18_52 length 209.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_16_21_25 length 252.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_34_31 length 187.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_36_43 length 221.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_39_30 length 148.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_45_28 length 154.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_46_37 length 146.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_47_35 length 155.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_48_22 length 163.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_49_39 length 185.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_50_13 length 209.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_50_57 length 191.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_51_54 length 138.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_52_47 length 178.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_53_25 length 141.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_54_07 length 148.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_54_57 length 126.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_55_54 length 186.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_57_31 length 149.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_58_40 length 178.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_18_59_36 length 168.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_00_19 length 131.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_00_57 length 166.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_28_13 length 162.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_28_57 length 112.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_29_33 length 122.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_30_16 length 208.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_34_51 length 221.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_35_31 length 133.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_35_58 length 108.
INFO:tensorflow:[INFO] Key 0002-2019_10_22_19_36_32 length 180.
INFO:tensorflow:[INFO] Key 0002-2019_10_23_09_29_16 length 211.
